class,file,bytes,status,H,W,dtype,z_min_nm,z_max_nm,z_mean_nm,z_std_nm,pixel_to_nm,scan_um,channel
ZdraviLudia,49.004,2138112,ok,512,512,float64,-1109.242,541.957,-321.555,328.473,97.656,50.00,Height
ZdraviLudia,2P.008,8429568,ok,1024,1024,float64,-1093.432,510.460,-345.156,329.505,90.348,92.52,Height
ZdraviLudia,48.004,2138112,ok,512,512,float64,-1130.965,867.150,-309.878,289.053,180.697,92.52,Height
ZdraviLudia,48.003,8429568,ok,1024,1024,float64,-1080.920,9.766,-510.472,141.690,48.828,50.00,Height
ZdraviLudia,2P.009,8429568,ok,1024,1024,float64,-534.166,1033.272,331.587,282.294,90.348,92.52,Height
ZdraviLudia,49.005,2138112,ok,512,512,float64,-665.277,818.669,33.554,222.119,180.697,92.52,Height
ZdraviLudia,6P.002,8429568,ok,1024,1024,float64,-816.189,266.124,-463.478,119.390,90.348,92.52,Height
ZdraviLudia,49.002,8429568,ok,1024,1024,float64,-853.093,760.359,39.052,266.129,90.348,92.52,Height
ZdraviLudia,48.002,8429568,ok,1024,1024,float64,-891.374,448.208,-211.685,170.590,90.348,92.52,Height
ZdraviLudia,48.005,2138112,ok,512,512,float64,-846.793,402.522,-284.400,176.893,180.697,92.52,Height
ZdraviLudia,Kontr_01.03.2024_LO.002,565248,ok,256,256,float64,-421.726,992.032,193.605,224.445,361.394,92.52,Height
ZdraviLudia,Kontr_01.03.2024_LO.005,69378048,ok,2944,2944,float64,-508.457,970.744,-69.380,184.663,31.426,92.52,Height
ZdraviLudia,9P.000,8429568,ok,1024,1024,float64,-399.900,561.420,57.429,154.769,90.348,92.52,Height
ZdraviLudia,79.001,2138112,ok,512,512,float64,-661.212,476.597,-181.159,143.963,180.697,92.52,Height
ZdraviLudia,5P.001,8429568,ok,1024,1024,float64,-8.251,594.638,245.652,85.127,90.348,92.52,Height
ZdraviLudia,Kontr_01.03.2024_LO.004,8429568,ok,1024,1024,float64,-835.517,139.516,-471.555,167.945,48.828,50.00,Height
ZdraviLudia,Kontr_01.03.2024_LO.003,2138112,ok,512,512,float64,-701.538,1177.313,-25.535,235.265,180.697,92.52,Height
ZdraviLudia,Sklo-kontrola.018,565248,ok,256,256,float64,-1023.118,499.243,-232.996,275.963,361.394,92.52,Height
ZdraviLudia,5P.000,8429568,ok,1024,1024,float64,-474.951,894.178,-17.079,227.347,90.348,92.52,Height
ZdraviLudia,9P.001,8429568,ok,1024,1024,float64,-809.442,330.050,-343.356,213.044,90.348,92.52,Height
ZdraviLudia,8P.001,8429568,ok,1024,1024,float64,-917.270,254.973,-170.064,185.917,90.348,92.52,Height
ZdraviLudia,6L.001,8429568,ok,1024,1024,float64,-942.774,849.389,-332.866,223.334,90.348,92.52,Height
ZdraviLudia,29.005,2138112,ok,512,512,float64,-1397.480,1013.771,-272.633,359.964,180.697,92.52,Height
ZdraviLudia,7.000,8429568,ok,1024,1024,float64,-339.705,531.286,-10.842,101.578,90.348,92.52,Height
